Task,Program relationship,Source sequence,Focus,Local date,Planned hours,Actual hours,Teacher initials,Variance,Evidence checked,Adjustments,Follow-up
1 — White Card,Common sequence,1,Delivery pathway and local readiness,,,,,,,,
1 — White Card,Common sequence,2,Learner administration and support,,,,,,,,
1 — White Card,Common sequence,3,Authorised teaching resources,,,,,,,,
1 — White Card,Common sequence,4,Controlled assessment boundary,,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,5,Hand-tool identification and selection,,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,6,Safe hand-tool use and care,,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,7,Power and pneumatic tools,,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,8,Power-tool safety,,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,9,"Maintenance, sharpening and faults",,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,10,"Materials, SDS and handling plan",,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,11,"Move, sort, stack and protect materials",,,,,,,,
"2 — Tools, Equipment and Materials",Common sequence,12,Evaluation and adjustment,,,,,,,,
3 — Work Safe,Common sequence,13,"WHS, consultation and duty of care",,,,,,,,
3 — Work Safe,Common sequence,14,"Compliance, responsibilities and regulators",,,,,,,,
3 — Work Safe,Common sequence,15,"Signs, barricades and reporting",,,,,,,,
3 — Work Safe,Common sequence,16,Risk management,,,,,,,,
3 — Work Safe,Common sequence,17,Safe work procedures and hazardous materials,,,,,,,,
3 — Work Safe,Common sequence,18,"Asbestos, PPE, housekeeping and tools",,,,,,,,
3 — Work Safe,Common sequence,19,Higher-risk contexts and ergonomics,,,,,,,,
3 — Work Safe,Common sequence,20,"Incidents, emergencies and first aid",,,,,,,,
4 — Working It Out,Common sequence,21,Measurement language and equipment,,,,,,,,
4 — Working It Out,Common sequence,22,"Accuracy, units and conversion",,,,,,,,
4 — Working It Out,Common sequence,23,Linear measurement and calculation methods,,,,,,,,
4 — Working It Out,Common sequence,24,"Area, volume, quantities and tolerances",,,,,,,,
4 — Working It Out,Common sequence,25,Record and communicate results,,,,,,,,
4 — Working It Out,Common sequence,26,Materials and labour estimates,,,,,,,,
4 — Working It Out,Common sequence,27,Basic costing documentation,,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,28,"Safety, terminology and standards",,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,29,"Environment, materials and mortar",,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,30,"Plant, wet saw and dust control",,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,31,"Handle, relocate and stack materials",,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,32,"Lay, align and finish",,,,,,,,
5.1 — Brick and Blocklaying,Alternative Task 5 pathway — use only the locally authorised option,33,"Plans, JSEA and tool range",,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,34,"Standards, policies and safety",,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,35,Environment and JSEA,,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,36,Tiling tools and equipment,,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,37,Drawings and set-out,,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,38,Material calculations,,,,,,,,
5.2 — Wall and Floor Tiling,Alternative Task 5 pathway — use only the locally authorised option,39,"Prepare, lay, cut and grout",,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,40,"Standards, workplace quality and safety",,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,41,"Tools, machinery and safety testing",,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,42,Constructed-unit processes,,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,43,Holding and clamping methods,,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,44,Assembled products,,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,45,"JSA, SWMS, SDS and environment",,,,,,,,
5.3 — Joinery,Alternative Task 5 pathway — use only the locally authorised option,46,"Fittings, joints and three projects",,,,,,,,
6 — Project Planning,Common sequence,47,Work-instruction sources,,,,,,,,
6 — Project Planning,Common sequence,48,"Clarification, quality and communication",,,,,,,,
6 — Project Planning,Common sequence,49,Plan and organise a work task,,,,,,,,
6 — Project Planning,Common sequence,50,"Safe work, quality and team preparation",,,,,,,,
6 — Project Planning,Common sequence,51,Project documents and environmental plans,,,,,,,,
6 — Project Planning,Common sequence,52,"Plans, title blocks and symbols",,,,,,,,
6 — Project Planning,Common sequence,53,Plan types and project requirements,,,,,,,,
7 — Group Project,Common sequence,54,Industry sectors and scope,,,,,,,,
7 — Group Project,Common sequence,55,"Careers, training and employment",,,,,,,,
7 — Group Project,Common sequence,56,Work instructions and task planning,,,,,,,,
7 — Group Project,Common sequence,57,Teamwork and communication,,,,,,,,
7 — Group Project,Common sequence,58,Diversity and respectful workplaces,,,,,,,,
7 — Group Project,Common sequence,59,Sustainability and resource efficiency,,,,,,,,
7 — Group Project,Common sequence,60,Basic project manufacture and assembly,,,,,,,,
